,0,1,2,3,4,5,6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2.0,2.0,2.0,2.0,2.0,2.0,2.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3.0,3.0,3.0,3.0,3.0,3.0,3.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
