,0,1,2,3,4
0,9.139294388025947e-07,9.134227029096824e-07,9.132297705667234e-07,9.133745622972469e-07,9.133465472568577e-07
1,9.139294388025947e-07,9.100209535342033e-07,9.103762382658409e-07,9.093470472056957e-07,9.087001281391197e-07
2,9.139294388025947e-07,9.158507347962918e-07,9.18463791100351e-07,9.177686107826079e-07,9.172535654452221e-07
3,0.0,1.67679182090236e-09,1.645249572106643e-09,1.4923882451446683e-09,1.5450935502560601e-09
4,1.0,25.0,46.0,166.0,263.0
