,0
0,0.00042974837433123726
1,0.0014972262758393454
2,0.002963246236981116
3,0.0012775456518458698
4,-0.002201828910520373
5,0.0005455607710423401
6,-0.0012418932306232468
7,-0.00865080100662521
8,-0.0023364478901398912
9,0.0037846300576470115
10,3.1512290573172334e-05
11,-0.0005619193904652167
12,-0.003149468225067055
13,0.006986205615372808
14,0.0013568943333733654
15,0.002310955264584416
16,-8.364559604290159e-05
17,0.000855536453171069
18,0.0013866055123516142
19,-0.001815787202366275
20,-0.002524805509483516
21,0.0018432214419346184
22,-0.0037866520242544224
23,-0.003366502461603935
24,-0.0022056603626517787
25,-0.012400208370045383
26,-0.000885605400079684
27,-0.014010630899756012
28,0.006485371877794331
29,-0.001725467635098473
30,0.005349196924816168
31,0.0026300805126981694
32,0.009125902317679206
33,-0.004724878627519806
34,0.0019079190283556723
35,-0.008940120478258462
36,0.0006717347293409529
37,-0.0016574597211257984
38,0.0027400932930773006
39,0.0031660239682916756
40,-0.001965212328576485
41,-0.0015368384385355638
42,0.008133727750054857
43,-0.0033603558688564154
44,0.002507672000966923
45,-0.0032627279956233923
46,-0.0025670958658231893
47,-0.008125859664013042
48,-0.002588220984007434
49,0.002488533691355715
50,-0.0013068032137143575
51,-0.008431438870321342
52,-0.004270409738886739
53,0.0015622342169016635
54,0.0036280499883715117
55,0.005846211201454492
56,0.0012834504494148762
57,-0.005450321189729129
58,0.004120130838609366
59,-0.0011471243438865948
60,-0.008399255521325128
61,-0.0016074801643417372
62,-0.0018448353811995966
63,0.007391356534537596
64,-0.0014106425653179326
65,0.0009609575502354013
66,-0.005811569465467432
67,-0.003863238124975673
68,-0.0059394079346749866
69,0.0033665732137876975
70,0.0031942515794539574
71,0.0025705402005896404
72,0.006650417354129003
73,-0.00027192319792551466
74,0.005154282912711203
75,-0.002845321508819688
76,0.0037045527950925893
77,-0.0029603096380620055
78,-0.0006381382992563495
79,0.0030230251214770397
80,-0.005219507832371694
81,0.008031950899317665
82,0.0007287762072091585
83,-0.00018080108855603538
84,0.0010673911088937313
85,0.010508603185591976
86,-0.0005443291343488038
87,-0.0047122864660040596
88,-0.008077369926249847
89,0.002099860629534213
90,0.000525979599081782
91,0.0006467177488851283
92,-0.0006983063947812669
93,0.002690927048862166
94,-0.003970729745755781
95,-0.0028698456982669427
96,0.006693860344118582
97,-0.002558019932848569
98,-0.0013565503089306434
99,0.0004349308682545961
100,-0.0014803619104009843
